Time(s), Pressure(mbar), Flowrate(ml/min), Temperature(C), AirInLine, HighFlowDetected
0.47,0.00,22.18,1.00,0.00,990.90,
0.63,0.00,22.42,1.00,0.00,990.92,
0.80,0.00,22.78,1.00,0.00,990.91,
0.96,0.00,22.92,1.00,0.00,990.89,
1.12,0.00,23.09,1.00,0.00,990.89,
1.28,0.00,23.30,1.00,0.00,990.88,
1.45,0.00,23.39,1.00,0.00,990.88,
1.61,0.00,23.52,1.00,0.00,990.92,
1.77,0.00,23.67,1.00,0.00,990.91,
1.94,0.00,23.72,1.00,0.00,990.90,
2.10,0.00,23.82,1.00,0.00,990.92,
2.26,0.00,23.85,1.00,0.00,990.90,
2.43,0.00,23.94,1.00,0.00,990.89,
2.60,0.00,23.89,1.00,0.00,990.89,
2.76,0.00,24.00,1.00,0.00,990.92,
2.93,0.00,24.03,1.00,0.00,990.89,
3.09,0.00,24.13,1.00,0.00,990.92,
3.26,0.00,24.15,1.00,0.00,990.89,
3.42,0.00,24.16,1.00,0.00,990.93,
3.59,0.00,24.20,1.00,0.00,990.92,
3.76,0.00,24.23,1.00,0.00,990.92,
3.92,0.00,24.25,1.00,0.00,990.89,
4.09,0.00,24.29,1.00,0.00,990.92,
4.25,0.00,24.37,1.00,0.00,990.89,
4.41,0.00,24.47,1.00,0.00,990.90,
4.58,0.00,24.38,1.00,0.00,990.90,
4.75,0.00,24.43,1.00,0.00,990.90,
4.92,0.00,24.44,1.00,0.00,990.89,
5.09,-0.00,24.41,1.00,0.00,990.88,
5.25,0.00,24.45,1.00,0.00,990.89,
5.42,0.00,24.51,1.00,0.00,990.88,
5.58,0.00,24.57,1.00,0.00,990.91,
5.75,0.00,24.53,1.00,0.00,990.91,
5.91,0.00,24.52,1.00,0.00,990.90,
6.08,0.00,24.60,1.00,0.00,990.89,
6.24,0.00,24.62,1.00,0.00,990.91,
6.41,0.00,24.59,1.00,0.00,990.89,
6.57,0.00,24.63,1.00,0.00,990.89,
6.74,0.00,24.61,1.00,0.00,990.87,
6.90,0.00,24.64,1.00,0.00,990.89,
7.07,0.00,24.67,1.00,0.00,990.89,
7.23,0.00,24.70,1.00,0.00,990.87,
7.41,0.00,24.71,1.00,0.00,990.87,
7.57,0.00,24.73,1.00,0.00,990.89,
7.74,0.00,24.72,1.00,0.00,990.89,
7.91,0.00,24.80,1.00,0.00,990.89,
8.07,0.00,24.84,1.00,0.00,990.89,
8.23,0.00,24.75,1.00,0.00,990.88,
8.40,0.00,24.83,1.00,0.00,990.90,
8.57,0.00,24.85,1.00,0.00,990.89,
8.73,0.00,24.84,1.00,0.00,990.85,
8.90,0.00,24.83,1.00,0.00,990.88,
9.06,0.00,24.85,1.00,0.00,990.85,
9.23,0.00,24.84,1.00,0.00,990.88,
9.39,0.00,24.85,1.00,0.00,990.90,
9.56,0.00,24.84,1.00,0.00,990.87,
9.73,0.00,24.90,1.00,0.00,990.88,
9.90,0.00,24.85,1.00,0.00,990.89,
10.06,0.00,24.92,1.00,0.00,990.91,
10.23,0.00,24.91,1.00,0.00,990.89,
10.39,0.00,24.89,1.00,0.00,990.92,
10.56,0.00,24.91,1.00,0.00,990.91,
10.72,0.00,24.94,1.00,0.00,990.89,
10.89,0.00,24.93,1.00,0.00,990.89,
11.05,0.00,24.92,1.00,0.00,990.89,
11.22,0.00,24.97,1.00,0.00,990.93,
11.39,0.00,24.89,1.00,0.00,990.89,
11.55,0.00,25.00,1.00,0.00,990.93,
11.72,0.00,25.03,1.00,0.00,990.90,
11.88,0.00,24.97,1.00,0.00,990.90,
12.05,0.00,25.00,1.00,0.00,990.92,
12.22,0.00,24.97,1.00,0.00,990.90,
12.39,0.00,25.01,1.00,0.00,990.91,
12.55,0.00,24.95,1.00,0.00,990.92,
12.72,0.00,25.06,1.00,0.00,990.91,
12.88,0.00,25.05,1.00,0.00,990.89,
13.05,0.00,25.06,1.00,0.00,990.94,
13.21,0.00,25.04,1.00,0.00,990.93,
13.38,0.00,25.02,1.00,0.00,990.91,
13.54,0.00,25.11,1.00,0.00,990.93,
13.71,0.00,25.10,1.00,0.00,990.93,
13.87,0.00,25.08,1.00,0.00,990.90,
14.04,0.00,25.13,1.00,0.00,990.90,
14.20,0.00,25.14,1.00,0.00,990.91,
14.37,0.00,25.11,1.00,0.00,990.90,
14.55,0.00,25.13,1.00,0.00,990.89,
14.71,0.00,25.10,1.00,0.00,990.88,
14.88,0.00,25.08,1.00,0.00,990.94,
15.04,0.00,25.09,1.00,0.00,990.88,
15.20,0.00,25.09,1.00,0.00,990.93,
15.37,0.00,25.14,1.00,0.00,990.93,
15.53,0.00,25.08,1.00,0.00,990.87,
15.70,0.00,25.14,1.00,0.00,990.88,
15.86,0.00,25.14,1.00,0.00,990.87,
16.03,0.00,25.08,1.00,0.00,990.87,
16.20,0.00,25.14,1.00,0.00,990.87,
16.36,0.00,25.23,1.00,0.00,990.86,
16.53,0.00,25.17,1.00,0.00,990.87,
16.69,0.00,25.14,1.00,0.00,990.88,
16.87,0.00,25.17,1.00,0.00,990.85,
17.03,0.00,25.18,1.00,0.00,990.88,
17.20,0.00,25.09,1.00,0.00,990.89,
17.36,0.00,25.17,1.00,0.00,990.87,
17.53,0.00,25.21,1.00,0.00,990.86,
17.69,0.00,25.19,1.00,0.00,990.87,
17.86,0.00,25.22,1.00,0.00,990.84,
18.02,0.00,25.22,1.00,0.00,990.89,
18.19,0.00,25.18,1.00,0.00,990.86,
18.35,0.00,25.17,1.00,0.00,990.87,
18.52,0.00,25.21,1.00,0.00,990.87,
18.68,0.00,25.24,1.00,0.00,990.88,
18.85,0.00,25.19,1.00,0.00,990.84,
19.01,0.00,25.25,1.00,0.00,990.84,
19.19,0.00,25.26,1.00,0.00,990.84,
19.35,0.00,25.25,1.00,0.00,990.85,
19.52,0.00,25.23,1.00,0.00,990.86,
19.68,0.00,25.25,1.00,0.00,990.86,
19.85,0.00,25.24,1.00,0.00,990.86,
20.01,0.00,25.30,1.00,0.00,990.86,
20.18,0.00,25.25,1.00,0.00,990.86,
20.34,0.00,25.30,1.00,0.00,990.83,
20.51,0.00,25.27,1.00,0.00,990.83,
20.67,0.00,25.30,1.00,0.00,990.88,
20.84,0.00,25.26,1.00,0.00,990.82,
21.01,0.00,25.29,1.00,0.00,990.84,
21.17,0.00,25.26,1.00,0.00,990.86,
21.34,0.00,25.28,1.00,0.00,990.87,
21.50,0.00,25.26,1.00,0.00,990.83,
21.68,0.00,25.31,1.00,0.00,990.83,
21.84,0.00,25.31,1.00,0.00,990.82,
22.01,-0.00,25.26,1.00,0.00,990.86,
22.17,0.00,25.31,1.00,0.00,990.85,
